"","data","ano","mes","tipo","descrição","valor"
"1",2015-01-02,"2015","Jan","telefonia","02-01 tim aline",18
"2",2015-01-05,"2015","Jan","educação","inglês ",300
"3",2015-01-10,"2015","Jan","transporte","sem parar",30
"4",2015-01-10,"2015","Jan","pagamentos","banco",41
"5",2015-01-10,"2015","Jan","moradia","gás",20
"6",2015-01-12,"2015","Jan","telefonia","vivo ",70
"7",2015-01-12,"2015","Jan","telefonia","12-01 tim aline",18
"8",2015-01-12,"2015","Jan","moradia","luz",70
"9",2015-01-15,"2015","Jan","saúde","convênio ",228
"10",2015-01-15,"2015","Jan","educação","kung fu",120
"11",2015-01-16,"2015","Jan","lazer","almoço ",16
"12",2015-01-16,"2015","Jan","fast food","padaria ",16
"13",2015-01-18,"2015","Jan","fast food","sobremesa ",22
"14",2015-01-20,"2015","Jan","seguros","azul seguros (3/4)",350
"15",2015-01-23,"2015","Jan","lazer","almoço ",16
"16",2015-01-25,"2015","Jan","telefonia","tim ",70
"17",2015-01-25,"2015","Jan","pet","vet (2/4)",140
"18",2015-01-25,"2015","Jan","presentes","controle ru  (2/4)",67.5
"19",2015-01-25,"2015","Jan","equipamentos","extra - gpu (2/4)",128
"20",2015-01-25,"2015","Jan","terceiros","exames lau (2/2)",51.5
"21",2015-01-25,"2015","Jan","saúde","exames aline (2/2)",86
"22",2015-01-25,"2015","Jan","terceiros","passagem doni (2/3)",65
"23",2015-01-25,"2015","Jan","investimento","catho (2/2)",40
"24",2015-01-25,"2015","Jan","roupa","markas (2/2)",80
"25",2015-01-25,"2015","Jan","corolla","ricardo - corolla (2/3)",133.33
"26",2015-01-25,"2015","Jan","investimento","pic",82
"27",2015-01-25,"2015","Jan","roupa","roupas aline (1/3)",90
"28",2015-01-25,"2015","Jan","alimentação","feira ",215
"29",2015-01-25,"2015","Jan","fast food","pizza ",25
"30",2015-01-25,"2015","Jan","pet","consulta puka",100
"31",2015-01-25,"2015","Jan","roupa","sapatos aline  (1/3)",80
"32",2015-01-25,"2015","Jan","transporte","gasolina ",150
"33",2015-01-25,"2015","Jan","pet","bebedor puka",25
"34",2015-01-25,"2015","Jan","pet","tapete cão ",56
"35",2015-01-25,"2015","Jan","beleza","norma  (1/3)",107.33
"36",2015-01-25,"2015","Jan","saúde","farmácia ",26
"37",2015-01-25,"2015","Jan","fast food","pizza ",24
"38",2015-01-25,"2015","Jan","alimentação","cooperativa ",25
"39",2015-01-25,"2015","Jan","pet","24-12 banho e tosa ",31
"40",2015-01-25,"2015","Jan","alimentação","24-12 compras natal ",25
"41",2015-01-25,"2015","Jan","transporte","25-12 gasolina ",150
"42",2015-01-25,"2015","Jan","lazer","net flux ",17
"43",2015-01-25,"2015","Jan","fast food","26-12 pastel",24
"44",2015-01-25,"2015","Jan","alimentação","26-12 feira",50
"45",2015-01-25,"2015","Jan","alimentação","26-12 peixe",14
"46",2015-01-25,"2015","Jan","pet","26-12 vet",65
"47",2015-01-25,"2015","Jan","saúde","26-12 farmacia",83
"48",2015-01-25,"2015","Jan","steam","30-12 final fantasy ",15
"49",2015-01-25,"2015","Jan","alimentação","30-12 ceia ",193
"50",2015-01-25,"2015","Jan","telefonia","02-01 skype aline",35
"51",2015-01-25,"2015","Jan","alimentação","30-12 ceia ano novo",181
"52",2015-01-25,"2015","Jan","transporte","03-01 gasolina ",162
"53",2015-01-25,"2015","Jan","alimentação","04-01 compras ",402
