Status,Ano,Date,Description,CATEGORY,Amount,Cartao
,2017,28 February 2017,conta água,MORADIA,62.00,
,2017,27 February 2017,Vivo,TELEFONIA,100.00,
,2017,27 February 2017,mafre,SEGUROS,260.00,
,2017,27 February 2017,Cabelo,BELEZA,30.00,
,2017,26 February 2017,PIC (15/21),INVESTIMENTO,82.00,
,2017,26 February 2017,TIM Erick & Aline,TELEFONIA,100.00,
,2017,26 February 2017,Netflix,LAZER,23.00,
,2017,25 February 2017,AUTO POSTO IRMAOS BATI,TRANSPORTE,50.00,                                                                        Credit Card
,2017,25 February 2017,Manutenção festa,COROLLA,45.90,                                                                        Credit Card
,2017,25 February 2017,COOP CAPUAVA,ALIMENTAÇÃO,28.86,                                                                        Credit Card
,2017,25 February 2017,COOP CAPUAVA,ALIMENTAÇÃO,39.78,                                                                        Credit Card
,2017,25 February 2017,CJ RAMOS COM DE A,ALIMENTAÇÃO,16.32,                                                                        Credit Card
,2017,25 February 2017,SACOLAO SAUDE ST,ALIMENTAÇÃO,91.24,                                                                        Credit Card
,2017,25 February 2017,HITAMAX,ALIMENTAÇÃO,27.15,                                                                        Credit Card
,2017,25 February 2017,COOP CAPUAVA,ALIMENTAÇÃO,42.61,                                                                        Credit Card
,2017,25 February 2017,COOP CAPUAVA,ALIMENTAÇÃO,46.89,                                                                        Credit Card
,2017,25 February 2017,PALMITO CIA,ALIMENTAÇÃO,21.00,                                                                        Credit Card
,2017,25 February 2017,CJ RAMOS COM DE A,ALIMENTAÇÃO,17.06,                                                                        Credit Card
,2017,25 February 2017,SACOLAO SAUDE ST,ALIMENTAÇÃO,53.90,                                                                        Credit Card
,2017,25 February 2017,COOP JARDIM MILENA,ALIMENTAÇÃO,40.17,                                                                        Credit Card
,2017,25 February 2017,HITAMAX,ALIMENTAÇÃO,15.15,                                                                        Credit Card
,2017,25 February 2017,CARREFOUR PSO 409,TRANSPORTE,129.37,                                                                        Credit Card
,2017,25 February 2017,HITAMAX,ALIMENTAÇÃO,25.69,                                                                        Credit Card
,2017,25 February 2017,CARREFOUR STO 248,ALIMENTAÇÃO,494.23,                                                                        Credit Card
,2017,25 February 2017,EXTRA 1338,ALIMENTAÇÃO,51.00,                                                                        Credit Card
,2017,25 February 2017,Celular Ru  (3/10),PRESENTES,10.00,                                                                        Credit Card
,2017,25 February 2017,CARREFOUR STO 248,ALIMENTAÇÃO,100.00,                                                                        Credit Card
,2017,25 February 2017,COOP CAPUAVA,ALIMENTAÇÃO,37.96,                                                                        Credit Card
,2017,25 February 2017,CARREFOUR PSO 409,TRANSPORTE,79.42,                                                                        Credit Card
,2017,25 February 2017,OLHAOCHURROS,FAST FOOD,10.50,                                                                        Credit Card
,2017,25 February 2017,COOP CAPUAVA,ALIMENTAÇÃO,19.25,                                                                        Credit Card
,2017,25 February 2017,COOP CAPU,ALIMENTAÇÃO,33.89,                                                                        Credit Card
,2017,25 February 2017,SACOLAO SAUDE ST,ALIMENTAÇÃO,74.77,                                                                        Credit Card
,2017,25 February 2017,AUTO POSTO IRMAOS BATI,TRANSPORTE,50.00,                                                                        Credit Card
,2017,25 February 2017,ALLFA TV (1/2),EQUIPAMENTOS,60.00,                                                                        Credit Card
,2017,25 February 2017,CARREFOUR STO 248,ALIMENTAÇÃO,127.36,                                                                        Credit Card
,2017,25 February 2017,CARREFOUR PSO 409,TRANSPORTE,107.49,                                                                        Credit Card
,2017,25 February 2017,AUTO POSTO IRMAOS BATI,TRANSPORTE,50.00,                                                                        Credit Card
,2017,25 February 2017,LIMAO CITY S GRIL,FAST FOOD,18.90,                                                                        Credit Card
,2017,25 February 2017,AUTO POSTO IRMAOS BATI,TRANSPORTE,50.00,                                                                        Credit Card
,2017,25 February 2017,HITAMAX,ALIMENTAÇÃO,12.98,                                                                        Credit Card
,2017,25 February 2017,Presente Jr  (2/3),PRESENTES,30.83,                                                                        Credit Card
,2017,25 February 2017,FERRAGENS MARUKA (2/2),EQUIPAMENTOS,52.98,                                                                        Credit Card
,2017,25 February 2017,Cafeteira (1/2),EQUIPAMENTOS,35.49,                                                                        Credit Card
,2017,25 February 2017,DECATHLON (2/2),EQUIPAMENTOS,70.00,                                                                        Credit Card
,2017,25 February 2017,AUTO POSTO IRMAOS BATI,TRANSPORTE,73.98,                                                                        Credit Card
,2017,25 February 2017,BK FILIAL BEST CE,FAST FOOD,25.00,                                                                        Credit Card
,2017,21 February 2017,luz,MORADIA,120.00,
,2017,20 February 2017,Faxina,MORADIA,200.00,
,2017,16 February 2017,vigia,MORADIA,45.00,
,2017,15 February 2017,seguro residencia,SEGUROS,177.00,
,2017,15 February 2017,convênio,SAÚDE,315.00,
