"Status","Date","Description","Category","Account","Amount",""
"","30 April 2017","PADARIA P","Alimentação","","$5.25",""
"","30 April 2017","conta água","Moradia","","$62.00",""
"","29 April 2017","BOUTIQUE","Alimentação","","$4.27",""
"","28 April 2017","PADARIA P","Alimentação","","$11.95",""
"","27 April 2017","PADARIA P","Alimentação","","$6.50",""
"","27 April 2017","Vivo","telefonia","","$100.00",""
"","27 April 2017","mafre","seguros","","$260.00",""
"","27 April 2017","Cabelo","beleza","","$35.00",""
"","26 April 2017","PIC (17/21)","investimento","","$82.00",""
"","26 April 2017","TIM Erick & Aline","telefonia","","$100.00",""
"","26 April 2017","Netflix","Lazer","","$23.00",""
"","26 April 2017","Celular Ru  (5/10)","presentes","","$10.00",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$35.72",""
"","26 April 2017","MARIA AUXILIADORA","Alimentação","","$15.51",""
"","26 April 2017","SERASA S/A","seguros","","$19.90",""
"","26 April 2017","HITAMAX","Alimentação","","$12.87",""
"","26 April 2017","PAGSEGUROUOL*magchurro","fast food","","$10.00",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$44.17",""
"","26 April 2017","PADARIA PAO PAULINOS","Alimentação","","$10.00",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$46.32",""
"","26 April 2017","CARREFOUR PSO 409","Transporte","","$111.73",""
"","26 April 2017","HITAMAX","Alimentação","","$11.98",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$47.11",""
"","26 April 2017","SUPORTE ORTOPEDIA","Saúde","","$105.00",""
"","26 April 2017","PURIFICADOR EUROPA","Moradia","","$89.00",""
"","26 April 2017","CARREFOUR STA 22","Alimentação","","$99.07",""
"","26 April 2017","PADARIA PAO PAULINOS","Alimentação","","$5.05",""
"","26 April 2017","MONTE CARLO","Corolla","","$35.00",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$69.17",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$35.50",""
"","26 April 2017","SACOLAO SAUDE ST","Alimentação","","$46.04",""
"","26 April 2017","RAMOS PESCADOS","fast food","","$21.34",""
"","26 April 2017","BCO24H","Pagamentos","","$100.00",""
"","26 April 2017","5469 [DELIVERY E","Alimentação","","$490.35",""
"","26 April 2017","BRASITALIA PIZZARIA LTD","fast food","","$34.50",""
"","26 April 2017","COOP CAPUAVA","presentes","","$37.98",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$38.00",""
"","26 April 2017","HITAMAX MINIMERCADO","Alimentação","","$8.29",""
"","26 April 2017","MARIA AUXILIADORA","Alimentação","","$21.31",""
"","26 April 2017","HITAMAX MINIMERCADO","Alimentação","","$8.29",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$13.34",""
"","26 April 2017","COOP CAPUAVA","Alimentação","","$11.97",""
"","26 April 2017","HITAMAX","Alimentação","","$6.51",""
"","26 April 2017","CARREFOUR PSO 409 30-03","Transporte","","$103.55",""
"","26 April 2017","SACOLAO SAUDE St 30-03","Alimentação","","$106.97",""
"","26 April 2017","LARSAN Comércio 30-03","Alimentação","","$28.06",""
"","26 April 2017","MONIGAS COM GAS LTDA 31-03","Moradia","","$60.00",""
"","26 April 2017","Cafeteira 31-03 (1/2)","Equipamentos","","$35.83",""
"","26 April 2017","E Bank 01-04","Equipamentos","","$23.37",""
"","26 April 2017","EXTRA 1338 02-04","Alimentação","","$51.65",""
"","26 April 2017","CACAU Show 02-04","Lazer","","$10.00",""
"","26 April 2017","Película 03-04","Equipamentos","","$10.00",""
"","26 April 2017","COOP Capuava 03-04","Alimentação","","$39.41",""
"","26 April 2017","FAM FARMA Nações 03-04","Saúde","","$56.14",""
"","26 April 2017","BOUTIQUE DO Pão 03-04","Alimentação","","$7.45",""
"","26 April 2017","MARIA Auxiliadora 05-04","Alimentação","","$62.11",""
"","26 April 2017","AUTO POSTO IRMAOS Batista 06-04","Transporte","","$50.00",""
"","26 April 2017","BOUTIQUE","Alimentação","","$6.15",""
"","26 April 2017","COOP Capuava 07-04","Alimentação","","$37.83",""
"","26 April 2017","COOP Capuava 07-04","Alimentação","","$10.58",""
"","26 April 2017","PIZZARIA BRASITAL","fast food","","$25.00",""
"","26 April 2017","AUTO POSTO 08-04","Transporte","","$50.00",""
"","26 April 2017","COOP Capuava 09-04","Alimentação","","$21.15",""
"","26 April 2017","Protetor 09-04","Saúde","","$15.00",""
"","26 April 2017","CARREFOUR STO 09-04","Alimentação","","$140.00",""
"","26 April 2017","Gasolina 09-04","Transporte","","$68.00",""
"","26 April 2017","HITAMAX M 10-04","Alimentação","","$13.18",""
"","26 April 2017","farmácia 10-04","Saúde","","$20.00",""
"","26 April 2017","PASTELARIA National 11-04","fast food","","$19.00",""
"","26 April 2017","SACOLAO SAUDE St 11-04","Alimentação","","$90.89",""
"","25 April 2017","PADARIA P","Alimentação","","$6.35",""
"","22 April 2017","PADARIA P","Alimentação","","$4.65",""
"","21 April 2017","PADARIA P","Alimentação","","$10.70",""
"","21 April 2017","luz","Moradia","","$120.00",""
"","20 April 2017","Faxina","Moradia","","$120.00",""
"","20 April 2017","AUTO POST","Transporte","","$50.00",""
"","16 April 2017","BOUTIQUE","Alimentação","","$4.20",""
"","16 April 2017","vigia","Moradia","","$45.00",""
"","15 April 2017","PANIFICAD","fast food","","$4.65",""
"","15 April 2017","seguro residencia","Moradia","","$177.00",""
"","15 April 2017","PADARIA P","Alimentação","","$10.00",""
"","15 April 2017","convênio","Saúde","","$315.00",""
"","14 April 2017","HITAMAX","Alimentação","","$4.80",""
"","13 April 2017","BOUTIQUE","Alimentação","","$9.20",""
"","09 April 2017","Tapioca","fast food","","$15.30",""
"","09 April 2017","BCO24H","Pagamentos","","$100.00",""
"","08 April 2017","seguro fiesta","Corolla","","$132.00",""
"","30 March 2017","conta água","Moradia","","$62.00",""
"","27 March 2017","Celular Ru  (4/10)","presentes","","$10.00",""
"","27 March 2017","Presente Jr  (3/3)","presentes","","$30.83",""
"","27 March 2017","Cafeteira (2/2)","Equipamentos","","$35.49",""
"","27 March 2017","ALLFA TV (2/2)","Equipamentos","","$60.00",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$24.87",""
"","27 March 2017","PANIFICADORA MODELO DE","fast food","","$7.80",""
"","27 March 2017","SUPORTE ORTOPEDIA","Saúde","","$50.00",""
"","27 March 2017","SAGRADO CORACAO","Alimentação","","$67.04",""
"","27 March 2017","CARREFOUR PSO 409","Transporte","","$125.91",""
"","27 March 2017","SACOLAO SAUDE ST","Alimentação","","$43.58",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$29.96",""
"","27 March 2017","BCO24H","Pagamentos","","$60.00",""
"","27 March 2017","HITAMAX","Alimentação","","$9.11",""
"","27 March 2017","AUTO POSTO MIRO","Transporte","","$50.00",""
"","27 March 2017","HITAMAX","Alimentação","","$12.10",""
"","27 March 2017","CAFE PRA TI","fast food","","$20.00",""
"","27 March 2017","HABIB S","fast food","","$18.26",""
"","27 March 2017","DROGARIA NOVA PER","Saúde","","$9.29",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$24.42",""
"","27 March 2017","COOP CAPUAVA","Saúde","","$147.44",""
"","27 March 2017","CARREFOUR PSO 409","Transporte","","$107.60",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$19.45",""
"","27 March 2017","PANIFICADORA PAO","Alimentação","","$14.29",""
"","27 March 2017","HITAMAX","Alimentação","","$5.36",""
"","27 March 2017","CARREFOUR STO 248","Alimentação","","$87.81",""
"","27 March 2017","SACOLAO SAUDE ST","Alimentação","","$62.64",""
"","27 March 2017","PET SHOP HATO","Alimentação","","$17.00",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$16.08",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$57.89",""
"","27 March 2017","COOP CAPUAVA","Saúde","","$19.70",""
"","27 March 2017","Churrasco Anderson","Lazer","","$53.50",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$40.28",""
"","27 March 2017","COOP CAPUAVA","Alimentação","","$46.09",""
"","27 March 2017","CARREFOUR PSO 409","Transporte","","$115.23",""
"","27 March 2017","COOP CAPUAVA","Saúde","","$19.70",""
"","27 March 2017","CARREFOUR STO 248","Alimentação","","$106.51",""
"","27 March 2017","SACOLAO SAUDE ST","Alimentação","","$102.46",""
"","27 March 2017","PIZZARIA BRASITAL","fast food","","$34.50",""
"","27 March 2017","KARTEX DESCARTAVE","Alimentação","","$5.10",""
"","27 March 2017","BOUTIQUE DO PAO","Alimentação","","$4.90",""
"","27 March 2017","Carregador USB","Equipamentos","","$39.00",""
