"","tipo","ano","mes","total"
"1","alimentação","2015","Jan",1318
"2","alimentação","2015","Feb",534
"3","alimentação","2015","Apr",785
"4","alimentação","2015","May",1332
"5","alimentação","2015","Jun",726
"6","alimentação","2015","Jul",1140
"7","alimentação","2015","Aug",1123
"8","alimentação","2015","Sep",992
"9","alimentação","2015","Oct",1127
"10","alimentação","2015","Nov",1061.67
"11","alimentação","2015","Dec",778.44
"12","alimentação","2016","Jan",1165.65
"13","alimentação","2016","Feb",1232.85
"14","alimentação","2016","Mar",1124
"15","alimentação","2016","Apr",687.61
"16","alimentação","2016","May",1287.51
"17","alimentação","2016","Jun",1108.81
"18","alimentação","2016","Jul",1595.17
"19","alimentação","2016","Aug",1142.78
"20","alimentação","2016","Sep",768.57
"21","alimentação","2016","Oct",1275.99
"22","alimentação","2016","Nov",1326.26
"23","alimentação","2016","Dec",844.31
"24","beleza","2015","Jan",107.33
"25","beleza","2015","Feb",202.33
"26","beleza","2015","Apr",483
"27","beleza","2015","May",258
"28","beleza","2015","Jun",258
"29","beleza","2015","Jul",108
"30","beleza","2015","Aug",108
"31","beleza","2015","Sep",143
"32","beleza","2015","Oct",108
"33","beleza","2015","Nov",108
"34","beleza","2015","Dec",108
"35","beleza","2016","Jan",108
"36","beleza","2016","Feb",30
"37","beleza","2016","Mar",30
"38","beleza","2016","Apr",30
"39","beleza","2016","May",41.9
"40","beleza","2016","Jun",48.2
"41","beleza","2016","Aug",30
"42","beleza","2016","Sep",30
"43","beleza","2016","Oct",30
"44","beleza","2016","Nov",30
"45","beleza","2016","Dec",30
"46","corolla","2015","Jan",133.33
"47","corolla","2015","Feb",133.33
"48","corolla","2015","Mar",84
"49","corolla","2015","Apr",365
"50","corolla","2015","May",352
"51","corolla","2015","Jun",417
"52","corolla","2015","Jul",296.66
"53","corolla","2015","Aug",819.16
"54","corolla","2015","Sep",977.41
"55","corolla","2015","Oct",770.75
"56","corolla","2015","Nov",770.75
"57","corolla","2015","Dec",193.75
"58","corolla","2016","Jan",560
"59","corolla","2016","Feb",590
"60","corolla","2016","Mar",595
"61","corolla","2016","Jul",102.01
"62","corolla","2016","Aug",102.01
"63","corolla","2016","Sep",102.01
"64","corolla","2016","Dec",20
"65","educação","2015","Jan",420
"66","educação","2015","Feb",420
"67","educação","2015","Mar",420
"68","educação","2015","Apr",420
"69","educação","2015","May",420
"70","educação","2015","Jun",420
"71","educação","2015","Jul",220
"72","educação","2015","Aug",600
"73","educação","2015","Sep",520
"74","educação","2015","Oct",520
"75","educação","2015","Nov",280
"76","educação","2015","Dec",280
"77","educação","2016","Jan",280
"78","educação","2016","Feb",220
"79","educação","2016","Mar",120
"80","educação","2016","Apr",120
"81","educação","2016","May",120
"82","educação","2016","Jun",130
"83","educação","2016","Jul",229
"84","educação","2016","Aug",130
"85","educação","2016","Sep",328.9
"86","educação","2016","Oct",130
"87","educação","2016","Nov",130
"88","educação","2016","Dec",130
"89","equipamentos","2015","Jan",128
"90","equipamentos","2015","Feb",189.5
"91","equipamentos","2015","Apr",154
"92","equipamentos","2015","May",148.33
"93","equipamentos","2015","Jun",113.33
"94","equipamentos","2015","Jul",153.66
"95","equipamentos","2015","Aug",136.33
"96","equipamentos","2015","Sep",260.83
"97","equipamentos","2015","Oct",284.33
"98","equipamentos","2015","Nov",242.33
"99","equipamentos","2015","Dec",122.58
"100","equipamentos","2016","Jan",45.3
"101","equipamentos","2016","Feb",92.7
"102","equipamentos","2016","Mar",210.61
"103","equipamentos","2016","Apr",555.56
"104","equipamentos","2016","May",181.33
"105","equipamentos","2016","Jun",290.37
"106","equipamentos","2016","Jul",99.89
"107","equipamentos","2016","Aug",104.07
"108","equipamentos","2016","Sep",257.2
"109","equipamentos","2016","Oct",62.5
"110","equipamentos","2016","Nov",267.32
"111","equipamentos","2016","Dec",69.9
"112","fast food","2015","Jan",149
"113","fast food","2015","Feb",191
"114","fast food","2015","Mar",22
"115","fast food","2015","Apr",218
"116","fast food","2015","May",179
"117","fast food","2015","Jun",36
"118","fast food","2015","Jul",44
"119","fast food","2015","Aug",35
"120","fast food","2015","Sep",53
"121","fast food","2015","Oct",24
"122","fast food","2015","Dec",43.2
"123","fast food","2016","Jan",73.63
"124","fast food","2016","Feb",137.92
"125","fast food","2016","Mar",62.19
"126","fast food","2016","Apr",81.5
"127","fast food","2016","May",114.19
"128","fast food","2016","Jun",21.5
"129","fast food","2016","Jul",24.83
"130","fast food","2016","Sep",153.9
"131","fast food","2016","Oct",32
"132","fast food","2016","Nov",178.58
"133","fast food","2016","Dec",157.03
"134","fatura c.crédito","2015","Apr",0.99
"135","investimento","2015","Jan",158
"136","investimento","2015","Feb",118
"137","investimento","2015","Apr",255
"138","investimento","2015","May",255
"139","investimento","2015","Jun",255
"140","investimento","2015","Jul",82
"141","investimento","2015","Aug",82
"142","investimento","2015","Sep",82
"143","investimento","2015","Oct",82
"144","investimento","2015","Nov",116
"145","investimento","2015","Dec",107.3
"146","investimento","2016","Jan",82
"147","investimento","2016","Feb",82
"148","investimento","2016","Mar",122.96
